datasetID,forestRemnantID,timeSinceIsolationInYears,firstYearSurvey,matrixQuality,matrixDescription,matrixDescriptionNote,matrixMapBiomasBuffer1km,timeSinceIsolationInYearsNote
Araujo2013,MFR2,NA,2012,intermediate,sugarcane,obtained from Marcio A. Efe,NA,NA
Araujo2013,MFR3,NA,2012,intermediate,pasture,obtained from Marcio A. Efe,NA,NA
Araujo2013,MFR4,NA,2012,intermediate,pasture,obtained from Marcio A. Efe,NA,NA
Araujo2013,MFR5,NA,2012,intermediate,pasture,obtained from Marcio A. Efe,NA,NA
Araujo2013,MFR6,NA,2012,intermediate,pasture,obtained from Marcio A. Efe,NA,NA
Araujo2013,SFR1,NA,2012,intermediate,pasture,obtained from Marcio A. Efe,NA,NA
Araujo2013,SFR2,NA,2012,intermediate,sugarcane,obtained from Marcio A. Efe,NA,NA
Araujo2013,SFR3,NA,2012,intermediate,pasture,obtained from Marcio A. Efe,NA,NA
Araujo2013,SFR4,NA,2012,intermediate,pasture,obtained from Marcio A. Efe,NA,NA
Araujo2013,SFR5,NA,2012,intermediate,pasture,obtained from Marcio A. Efe,NA,NA
Araujo2013,SFR6,NA,2012,intermediate,pasture,obtained from Marcio A. Efe,NA,NA
Aurelio-Silva2016,Abusado,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Anta,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Bacaba,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Bacaba II,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Bacaba III,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Bacaba IV,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Bacaba V,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Beco do Catitu,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Cipoal,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Coata,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Furo,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Fuzaca,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Gaviao Real,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Martelo,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Palhal,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Panema,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Panema II,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Panema III,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Panema IV,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Piquia,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Pontal,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Porto,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Relogio,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Sapupara,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Sem nome,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Vizinha Beco,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Aurelio-Silva2016,Vizinha Furo,22,2009,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bispo2010,g1,NA,2007,intermediate,pasture | cropland,obtained from study publication,NA,NA
Bispo2010,g3,NA,2007,intermediate,pasture | cropland,obtained from study publication,NA,NA
Bispo2010,g4,NA,2007,intermediate,pasture | cropland,obtained from study publication,NA,NA
Bispo2010,g5,NA,2007,intermediate,pasture | cropland,obtained from study publication,NA,NA
Bispo2010,g6,NA,2008,intermediate,pasture | cropland,obtained from study publication,NA,NA
Bispo2010,g7,NA,2008,intermediate,pasture | cropland,obtained from study publication,NA,NA
Bispo2010,g8,NA,2008,intermediate,pasture | cropland,obtained from study publication,NA,NA
Bispo2010,g9,NA,2007,intermediate,pasture | cropland,obtained from study publication,NA,NA
Bispo2010,p1,NA,2007,intermediate,pasture | cropland,obtained from study publication,NA,NA
Bispo2010,p2,NA,2007,intermediate,pasture | cropland,obtained from study publication,NA,NA
Bispo2010,p3,NA,2007,intermediate,pasture | cropland,obtained from study publication,NA,NA
Bispo2010,p4,NA,2007,intermediate,pasture | cropland,obtained from study publication,NA,NA
Bispo2010,p5,NA,2008,intermediate,pasture | cropland,obtained from study publication,NA,NA
Bispo2010,p6,NA,2008,intermediate,pasture | cropland,obtained from study publication,NA,NA
Bispo2010,p7,NA,2008,intermediate,pasture | cropland,obtained from study publication,NA,NA
Bispo2010,p8,NA,2008,intermediate,pasture | cropland,obtained from study publication,NA,NA
Bispo2010,p9,NA,2008,intermediate,pasture | cropland,obtained from study publication,NA,NA
Boesing2018MG,P02a,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P02b,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P02c,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P02d,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P09a,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P09b,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P09c,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P09d,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P10a,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P10b,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P10c,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P10d,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P11a,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P11b,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P11c,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P11d,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P12a,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P12b,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P12c,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P12d,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P19a,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P19b,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P19c,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P19d,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P26a,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P26b,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P26c,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P26d,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P27a,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P27b,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P27c,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P27d,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P28a,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P28b,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P28c,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P28d,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P30a,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P30b,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P30c,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018MG,P30d,NA,2014,high,heterogeneous coffee matrix,obtained from study publication,NA,NA
Boesing2018SP,148a,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,148b,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,148c,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,148d,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,215a,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,215b,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,215c,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,215d,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,220a,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,220b,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,220c,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,220d,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,263a,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,263b,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,263c,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,263d,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,266a,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,266b,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,266c,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,266d,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,282a,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,282b,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,282c,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,282d,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,291a,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,291b,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,291c,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,291d,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,317a,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,317b,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,317c,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,317d,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,329a,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,329b,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,329c,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,329d,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,333a,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,333b,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,333c,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,333d,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,335a,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,335b,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,335c,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,335d,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,359a,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,359b,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,359c,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,359d,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,399a,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,399b,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,399c,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Boesing2018SP,399d,NA,2014,intermediate,pasture,obtained from study publication,NA,NA
Bueno2018,Ailton,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Barranco,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Bicuda,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Carrapato,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Castanha,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Caua,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Chifre,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Chuva,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Cornelio,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Cornelio_Jr,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Divisa,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Duca,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Eduardo,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Embauba,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Fantasia,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Fora,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Gito,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Guariba,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Juarez,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Lobao,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Lucyana,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Marcelo,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Miudo,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Nivia_B3,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Nivia_B4,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Panema,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Pedral,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Placa,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Prefeito,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Queimada,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Roca,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Sidnei,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Tamarindo,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Tiago_B4,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Urubu-rei,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2018,Vandir,22,2006,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Abusado,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Adeus,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Andre,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Arrepiado,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Bacaba,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Beco_do_Catitu,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Cafundo,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Cipoal,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Coata,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Formiga,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Furo_de_Santa_Luzia,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Fuzaca,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Garrafa,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Gaviao_real,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Jabuti,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Jiquitaia,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Joaninha,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Martelo,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Mascote,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Moita,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Neto,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Palhal,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Panema,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Pe_Torto,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Piquia,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Pontal,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Porto_Seguro,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Relogio,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Sapupara,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Torem,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Tristeza,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Tucumari,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Bueno2020,Xibe,28,2015,low,hydroelectric reservoir,obtained from study publication,NA,NA
Carrara2015,Site_1,40,2012,high,heterogeneous,obtained from study publication,NA,NA
Carrara2015,Site_10,40,2012,high,heterogeneous,obtained from study publication,NA,NA
Carrara2015,Site_11,40,2012,high,heterogeneous,obtained from study publication,NA,NA
Carrara2015,Site_12,40,2012,high,heterogeneous,obtained from study publication,NA,NA
Carrara2015,Site_13,40,2012,high,heterogeneous,obtained from study publication,NA,NA
Carrara2015,Site_14,40,2012,high,heterogeneous,obtained from study publication,NA,NA
Carrara2015,Site_15,40,2012,high,heterogeneous,obtained from study publication,NA,NA
Carrara2015,Site_16,40,2012,high,heterogeneous,obtained from study publication,NA,NA
Carrara2015,Site_17,40,2012,high,heterogeneous,obtained from study publication,NA,NA
Carrara2015,Site_2,40,2012,high,heterogeneous,obtained from study publication,NA,NA
Carrara2015,Site_3,40,2012,high,heterogeneous,obtained from study publication,NA,NA
Carrara2015,Site_4,40,2012,high,heterogeneous,obtained from study publication,NA,NA
Carrara2015,Site_5,40,2012,high,heterogeneous,obtained from study publication,NA,NA
Carrara2015,Site_6,40,2012,high,heterogeneous,obtained from study publication,NA,NA
Carrara2015,Site_7,40,2012,high,heterogeneous,obtained from study publication,NA,NA
Carrara2015,Site_8,40,2012,high,heterogeneous,obtained from study publication,NA,NA
Carrara2015,Site_9,40,2012,high,heterogeneous,obtained from study publication,NA,NA
Claessens2002,i2,1,1995,low,hydroelectric reservoir,obtained from study publication,NA,NA
Claessens2002,i20,1,1995,low,hydroelectric reservoir,obtained from study publication,NA,NA
Claessens2002,i21,1,1995,low,hydroelectric reservoir,obtained from study publication,NA,NA
Claessens2002,i22,1,1995,low,hydroelectric reservoir,obtained from study publication,NA,NA
Claessens2002,i23,1,1995,low,hydroelectric reservoir,obtained from study publication,NA,NA
Claessens2002,i24,1,1995,low,hydroelectric reservoir,obtained from study publication,NA,NA
Claessens2002,i27,1,1995,low,hydroelectric reservoir,obtained from study publication,NA,NA
Claessens2002,i40,1,1995,low,hydroelectric reservoir,obtained from study publication,NA,NA
Claessens2002,i44,1,1995,low,hydroelectric reservoir,obtained from study publication,NA,NA
Claessens2002,i45,1,1995,low,hydroelectric reservoir,obtained from study publication,NA,NA
Claessens2002,i47,1,1995,low,hydroelectric reservoir,obtained from study publication,NA,NA
Claessens2002,i5,1,1995,low,hydroelectric reservoir,obtained from study publication,NA,NA
Claessens2002,i53,1,1995,low,hydroelectric reservoir,obtained from study publication,NA,NA
Claessens2002,i6,1,1995,low,hydroelectric reservoir,obtained from study publication,NA,NA
Claessens2002,i7,1,1995,low,hydroelectric reservoir,obtained from study publication,NA,NA
Daily2001,CAS,25,1995,high,coffee |pasture |banana |bean |sugarcane |taro |yucca | other crops |residential gardens |small bits of native forest,obtained from study publication,NA,"I considered that deforestation occurred in 1970, following Zahawi et al. (2015) [https://doi.org/10.1371/journal.pone.0143554]. Thus, the time since isolation is calculated as 1995 (the first year of the survey) minus 1970. However, in Daily et al. (2001), the stated time since isolation is approximately 40 years."
Daily2001,LC,25,1995,high,coffee |pasture |banana |bean |sugarcane |taro |yucca | other crops |residential gardens |small bits of native forest,obtained from study publication,NA,"I considered that deforestation occurred in 1970, following Zahawi et al. (2015) [https://doi.org/10.1371/journal.pone.0143554]. Thus, the time since isolation is calculated as 1995 (the first year of the survey) minus 1970. However, in Daily et al. (2001), the stated time since isolation is approximately 40 years."
Daily2001,LGS,25,1995,high,coffee |pasture |banana |bean |sugarcane |taro |yucca | other crops |residential gardens |small bits of native forest,obtained from study publication,NA,"I considered that deforestation occurred in 1970, following Zahawi et al. (2015) [https://doi.org/10.1371/journal.pone.0143554]. Thus, the time since isolation is calculated as 1995 (the first year of the survey) minus 1970. However, in Daily et al. (2001), the stated time since isolation is approximately 40 years."
